,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,kakao_keyword,kakao_map_url,kakao_store_name,kakao_star_point,kakao_star_point_qty,kakao_blog_review_txt,kakao_blog_review_qty
78,성자네식당,한식,한식/백반/한정식,한식 음식점업,온천2동,36.3592536246883,127.334223634535,한식한식 백반 한정식한식 음식점업,온천2동%20성자네식당,https://place.map.kakao.com/17989381,성자네식당,3.7,3.0,,0.0
79,행복조개찜,일식/수산물,조개구이전문,한식 음식점업,온천1동,36.3588273761589,127.345158001953,일식 수산물조개구이전문한식 음식점업,온천1동%20행복조개찜,https://place.map.kakao.com/26095573,행복조개찜,5.0,1.0,,24.0
80,유성선병원장례식장,한식,한식/백반/한정식,한식 음식점업,노은1동,36.3751268121217,127.324994267289,한식한식 백반 한정식한식 음식점업,노은1동%20유성선병원장례식장,https://place.map.kakao.com/9312327,유성선병원 장례식장,2.3,3.0,여기 저기서 추가 팁 요구하는게 못마땅함.  당연히 비싼 비용을 지불했는데 따로 팁을 강요하는 모습은 눈쌀을 찌푸리게하고 음식도 빼돌리는 것을 보니 시설이 깨끗해서 선택했는데 후회했음. ,15.0
81,삼부자식당,한식,한식/백반/한정식,한식 음식점업,온천2동,36.3635276117999,127.357654636155,한식한식 백반 한정식한식 음식점업,온천2동%20삼부자식당,https://place.map.kakao.com/1646082315,삼부자부대찌개,4.3,10.0,부대찌개 맛집 후회 안함 ,7.0
82,맛나외식,분식,라면김밥분식,분식 및 김밥 전문점,온천2동,36.3681370752269,127.341848304207,분식라면김밥분식분식 및 김밥 전문점,온천2동%20맛나외식,https://place.map.kakao.com/18148205,맛나외식산업,4.3,10.0,,0.0
83,불광동숯불바베큐,양식,바베큐전문,서양식 음식점업,용운동,36.326305437582,127.447709066046,양식바베큐전문서양식 음식점업,용운동%20불광동숯불바베큐,https://place.map.kakao.com/9062036,불광동 치킨호프 용운점,4.3,10.0,,0.0
84,유림장수촌식당,한식,한식/백반/한정식,한식 음식점업,신인동,36.3258293771957,127.434558675668,한식한식 백반 한정식한식 음식점업,신인동%20유림장수촌식당,https://place.map.kakao.com/11171709,유림장수촌,4.3,10.0,,0.0
85,광명농장,닭/오리요리,옻닭전문,한식 음식점업,산성동,36.2715797941705,127.428283143516,닭 오리요리옻닭전문한식 음식점업,산성동%20광명농장,https://place.map.kakao.com/25884149,광명농장,4.0,2.0,공기맑고풍경촣고반찬맛나고 완전시골 꼴자기 맛나요~ 사장님도 친절하시구요 잘찿아오시길~ 외길이고코스가시골길이라 슬로우슬로우,1.0
86,김가네연구단지,분식,라면김밥분식,분식 및 김밥 전문점,신성동,36.3859103641295,127.379027579077,분식라면김밥분식분식 및 김밥 전문점,신성동%20김가네연구단지,https://place.map.kakao.com/8695997,김가네 연구단지점,2.3,3.0,"ㄴㅔ, 저요?",1.0
87,신새한기사식당,한식,기사식당,한식 음식점업,중앙동,36.3360087325228,127.439274996872,한식기사식당한식 음식점업,중앙동%20신새한기사식당,https://place.map.kakao.com/10531298,신새한기사님식당,5.0,1.0,여기 가성비 최고에요 그리고 맛 있습니다. 꼭 들러야 할 대전 맛집!!!  두번째 들렀는데 여전히 맛있네요 Good 아주머님과 아드님이 하시는데 두 분 다  친절하시고 양도 듬뿍~ 가격 또한 착하니 아니 갈 수가 없어요,2.0
